level_4_2	level_1_1	year	level_1_2	level_2_1	level_2_2	level_3_1	level_3_2	level_4_1	level_3_4_2	number_tested	mean_scale_score	level_3_4_1	district	grade	category
23.7	93	2011	10.4	323	36.2	265	29.7	212	53.4	893	677	477	1	8	All Students
16.4	710	2006	13.2	1547	28.7	2250	41.8	882	58.1	5389	659	3132	1	All Grades	All Students
19.1	512	2007	9.8	1252	24.0	2449	47.0	995	66.1	5208	666	3444	1	All Grades	All Students
23.8	279	2008	5.4	984	19.0	2690	51.9	1233	75.6	5186	674	3923	1	All Grades	All Students
28.9	187	2009	3.6	723	13.9	2776	53.6	1497	82.4	5183	682	4273	1	All Grades	All Students
27.4	527	2010	10.2	1678	32.5	1545	29.9	1417	57.3	5167	684	2962	1	All Grades	All Students
29.1	433	2011	8.6	1504	29.7	1650	32.6	1474	61.7	5061	685	3124	1	All Grades	All Students
37.9	79	2006	3.5	169	7.4	1169	51.2	864	89.1	2281	690	2033	2	3	All Students
43.9	35	2007	1.5	108	4.7	1139	49.8	1004	93.7	2286	699	2143	2	3	All Students
40.8	23	2008	1.0	91	4.0	1247	54.2	939	95.0	2300	701	2186	2	3	All Students
37.1	10	2009	0.4	72	2.9	1454	59.5	906	96.6	2442	702	2360	2	3	All Students
40.6	92	2010	3.9	385	16.4	921	39.1	955	79.7	2353	707	1876	2	3	All Students
29.3	83	2011	3.3	405	16.2	1278	51.2	732	80.5	2498	698	2010	2	3	All Students
40.4	69	2006	3.0	212	9.2	1088	47.3	929	87.8	2298	692	2017	2	4	All Students
46.2	73	2007	3.3	165	7.4	969	43.2	1035	89.4	2242	698	2004	2	4	All Students
50.9	37	2008	1.6	105	4.6	977	42.9	1160	93.8	2279	704	2137	2	4	All Students
62.7	42	2009	1.8	92	4.0	727	31.5	1449	94.2	2310	713	2176	2	4	All Students
49.6	82	2010	3.2	371	14.7	821	32.5	1253	82.1	2527	707	2074	2	4	All Students
53.4	58	2011	2.4	278	11.7	771	32.4	1271	85.9	2378	708	2042	2	4	All Students
35.2	117	2006	5.1	270	11.8	1090	47.8	804	83.0	2281	684	1894	2	5	All Students
39.9	74	2007	3.4	214	9.7	1032	47.0	878	86.9	2198	691	1910	2	5	All Students
49.0	42	2008	1.9	150	6.9	917	42.2	1064	91.2	2173	698	1981	2	5	All Students
58.3	19	2009	0.8	85	3.8	832	37.0	1310	95.4	2246	703	2142	2	5	All Students
47.1	84	2010	3.6	327	14.0	827	35.4	1101	82.4	2339	702	1928	2	5	All Students
48.8	81	2011	3.2	341	13.6	857	34.3	1220	83.1	2499	703	2077	2	5	All Students
24.4	177	2006	8.0	382	17.2	1118	50.4	541	74.8	2218	671	1659	2	6	All Students
30.1	124	2007	5.6	330	15.0	1082	49.2	661	79.3	2197	680	1743	2	6	All Students
38.1	74	2008	3.5	245	11.5	999	46.9	811	85.0	2129	685	1810	2	6	All Students
43.1	41	2009	2.0	174	8.3	973	46.6	899	89.7	2087	692	1872	2	6	All Students
42.4	130	2010	5.7	454	20.0	725	31.9	965	74.3	2274	692	1690	2	6	All Students
49.8	107	2011	4.7	370	16.4	653	29.0	1123	78.8	2253	697	1776	2	6	All Students
18.5	160	2006	7.2	517	23.3	1129	50.9	410	69.4	2216	664	1539	2	7	All Students
30.9	66	2007	3.0	401	18.3	1046	47.8	677	78.7	2190	676	1723	2	7	All Students
37.0	44	2008	2.1	257	12.0	1047	49.0	790	85.9	2138	683	1837	2	7	All Students
43.8	9	2009	0.4	153	7.1	1052	48.7	947	92.5	2161	692	1999	2	7	All Students
43.2	103	2010	4.7	448	20.5	689	31.5	945	74.8	2185	688	1634	2	7	All Students
52.3	94	2011	4.2	397	17.7	578	25.8	1170	78.1	2239	695	1748	2	7	All Students
19.5	203	2006	8.3	592	24.2	1172	48.0	475	67.4	2442	667	1647	2	8	All Students
16.4	161	2007	7.3	552	25.0	1133	51.3	362	67.7	2208	666	1495	2	8	All Students
24.4	75	2008	3.4	380	17.3	1206	54.9	537	79.3	2198	677	1743	2	8	All Students
28.4	38	2009	1.7	268	12.0	1289	57.8	634	86.3	2229	684	1923	2	8	All Students
30.5	123	2010	5.4	566	24.7	905	39.4	701	70.0	2295	689	1606	2	8	All Students
34.7	103	2011	4.6	445	19.9	908	40.7	775	75.4	2231	691	1683	2	8	All Students
29.3	805	2006	5.9	2142	15.6	6766	49.3	4023	78.5	13736	678	10789	2	All Grades	All Students
34.7	533	2007	4.0	1770	13.3	6401	48.1	4617	82.7	13321	685	11018	2	All Grades	All Students
40.1	295	2008	2.2	1228	9.3	6393	48.4	5301	88.5	13217	691	11694	2	All Grades	All Students
45.6	159	2009	1.2	844	6.3	6327	47.0	6145	92.6	13475	698	12472	2	All Grades	All Students
42.4	614	2010	4.4	2551	18.3	4888	35.0	5920	77.3	13973	698	10808	2	All Grades	All Students
44.6	526	2011	3.7	2236	15.9	5045	35.8	6291	80.4	14098	699	11336	2	All Grades	All Students
23.6	113	2006	7.7	252	17.2	755	51.5	346	75.1	1466	674	1101	3	3	All Students
28.3	64	2007	4.4	177	12.3	792	55.0	408	83.3	1441	683	1200	3	3	All Students
26.0	32	2008	2.3	142	10.1	863	61.6	365	87.6	1402	687	1228	3	3	All Students
26.3	18	2009	1.3	99	7.0	919	65.4	370	91.7	1406	690	1289	3	3	All Students
24.7	162	2010	11.6	455	32.5	439	31.3	346	56.0	1402	692	785	3	3	All Students
21.5	101	2011	7.2	404	28.8	595	42.5	301	64.0	1401	691	896	3	3	All Students
28.0	151	2006	10.3	252	17.1	656	44.6	411	72.6	1470	674	1067	3	4	All Students
33.8	78	2007	5.7	228	16.8	593	43.7	458	77.5	1357	683	1051	3	4	All Students
32.2	72	2008	5.2	171	12.4	695	50.3	445	82.4	1383	684	1140	3	4	All Students
39.7	61	2009	4.4	121	8.7	653	47.2	549	86.8	1384	694	1202	3	4	All Students
33.3	90	2010	6.4	429	30.5	419	29.8	469	63.1	1407	692	888	3	4	All Students
36.8	63	2011	4.5	370	26.5	448	32.1	513	68.9	1394	694	961	3	4	All Students
21.2	180	2006	12.1	353	23.7	642	43.0	317	64.3	1492	665	959	3	5	All Students
21.5	91	2007	6.4	291	20.6	726	51.4	304	72.9	1412	672	1030	3	5	All Students
30.8	60	2008	4.4	204	15.0	676	49.8	418	80.6	1358	680	1094	3	5	All Students
39.2	35	2009	2.7	137	10.4	631	47.8	517	87.0	1320	690	1148	3	5	All Students
29.8	73	2010	5.4	416	30.9	456	33.9	401	63.7	1346	688	857	3	5	All Students
30.9	81	2011	5.9	395	28.7	475	34.5	426	65.4	1377	690	901	3	5	All Students
17.8	245	2006	16.3	407	27.1	582	38.8	267	56.6	1501	657	849	3	6	All Students
23.7	118	2007	8.6	286	20.7	649	47.0	327	70.7	1380	671	976	3	6	All Students
25.4	86	2008	6.5	265	20.0	636	48.1	336	73.5	1323	673	972	3	6	All Students
33.7	55	2009	4.3	188	14.7	604	47.3	431	81.0	1278	683	1035	3	6	All Students
31.3	117	2010	9.3	383	30.4	366	29.0	395	60.3	1261	683	761	3	6	All Students
37.8	81	2011	6.3	323	25.0	400	30.9	489	68.8	1293	692	889	3	6	All Students
12.6	230	2006	15.2	567	37.5	526	34.8	190	47.3	1513	647	716	3	7	All Students
21.0	128	2007	8.7	464	31.4	577	39.0	310	60.0	1479	662	887	3	7	All Students
25.8	44	2008	3.3	283	21.3	660	49.6	344	75.4	1331	674	1004	3	7	All Students
28.8	19	2009	1.5	193	14.7	720	55.0	377	83.8	1309	680	1097	3	7	All Students
34.6	86	2010	6.9	378	30.4	349	28.1	430	62.7	1243	682	779	3	7	All Students
37.6	98	2011	8.0	325	26.4	345	28.0	462	65.6	1230	684	807	3	7	All Students
9.7	261	2006	16.3	617	38.4	572	35.6	155	45.3	1605	648	727	3	8	All Students
11.5	177	2007	12.2	466	32.1	640	44.1	167	55.7	1450	656	807	3	8	All Students
15.4	157	2008	10.9	454	31.4	612	42.4	222	57.7	1445	659	834	3	8	All Students
18.5	42	2009	3.1	261	19.6	785	58.8	247	77.3	1335	673	1032	3	8	All Students
19.0	141	2010	10.9	461	35.5	449	34.6	246	53.6	1297	676	695	3	8	All Students
23.3	112	2011	8.9	372	29.5	483	38.3	293	61.6	1260	680	776	3	8	All Students
18.6	1180	2006	13.0	2448	27.1	3733	41.3	1686	59.9	9047	661	5419	3	All Grades	All Students
23.2	656	2007	7.7	1912	22.4	3977	46.7	1974	69.9	8519	671	5951	3	All Grades	All Students
25.8	451	2008	5.5	1519	18.4	4142	50.3	2130	76.1	8242	676	6272	3	All Grades	All Students
31.0	230	2009	2.9	999	12.4	4312	53.7	2491	84.7	8032	685	6803	3	All Grades	All Students
28.7	669	2010	8.4	2522	31.7	2478	31.1	2287	59.9	7956	686	4765	3	All Grades	All Students
31.2	536	2011	6.7	2189	27.5	2746	34.5	2484	65.7	7955	689	5230	3	All Grades	All Students
18.1	123	2006	10.3	244	20.5	607	51.1	215	69.1	1189	667	822	4	3	All Students
23.1	93	2007	7.5	181	14.6	680	54.8	286	77.9	1240	676	966	4	3	All Students
18.3	38	2008	3.3	143	12.5	754	65.9	209	84.2	1144	680	963	4	3	All Students
22.7	13	2009	1.1	73	6.4	793	69.7	258	92.4	1137	688	1051	4	3	All Students
16.6	143	2010	12.8	425	38.1	362	32.5	185	49.1	1115	686	547	4	3	All Students
8.6	153	2011	13.2	446	38.4	461	39.7	100	48.4	1160	682	561	4	3	All Students
13.6	129	2006	10.1	291	22.8	682	53.5	173	67.1	1275	663	855	4	4	All Students
15.0	123	2007	10.2	304	25.3	596	49.5	180	64.5	1203	664	776	4	4	All Students
18.8	80	2008	6.8	219	18.5	660	55.9	222	74.7	1181	672	882	4	4	All Students
31.5	54	2009	4.7	156	13.6	579	50.3	362	81.8	1151	685	941	4	4	All Students
18.2	78	2010	6.9	427	37.5	426	37.4	207	55.6	1138	680	633	4	4	All Students
19.7	64	2011	5.9	391	35.8	421	38.6	215	58.3	1091	683	636	4	4	All Students
9.9	194	2006	15.4	371	29.4	571	45.3	125	55.2	1261	654	696	4	5	All Students
12.7	108	2007	8.5	339	26.7	662	52.1	161	64.8	1270	661	823	4	5	All Students
15.4	61	2008	5.5	233	20.9	650	58.2	172	73.7	1116	668	822	4	5	All Students
27.0	35	2009	3.0	159	13.8	645	56.1	310	83.1	1149	678	955	4	5	All Students
17.7	110	2010	10.0	388	35.2	410	37.2	195	54.9	1103	677	605	4	5	All Students
13.8	67	2011	6.2	421	38.7	451	41.4	150	55.2	1089	679	601	4	5	All Students
6.9	207	2006	14.1	491	33.4	669	45.5	102	52.5	1469	649	771	4	6	All Students
10.6	217	2007	18.2	387	32.5	462	38.8	126	49.3	1192	649	588	4	6	All Students
14.5	106	2008	8.9	336	28.2	575	48.3	173	62.9	1190	659	748	4	6	All Students
14.1	81	2009	7.1	295	25.9	603	52.9	161	67.0	1140	664	764	4	6	All Students
13.0	146	2010	13.2	497	44.8	322	29.0	144	42.0	1109	666	466	4	6	All Students
13.1	133	2011	12.3	436	40.3	370	34.2	142	47.4	1081	671	512	4	6	All Students
1.1	364	2006	25.6	687	48.4	354	24.9	15	26.0	1420	627	369	4	7	All Students
4.8	159	2007	11.3	605	43.2	570	40.7	67	45.5	1401	645	637	4	7	All Students
11.0	92	2008	7.4	371	30.0	639	51.6	136	62.6	1238	656	775	4	7	All Students
12.9	31	2009	2.6	263	21.6	764	62.9	157	75.8	1215	666	921	4	7	All Students
13.9	175	2010	15.4	466	41.1	334	29.5	158	43.4	1133	663	492	4	7	All Students
15.0	153	2011	13.7	440	39.4	357	31.9	168	47.0	1118	666	525	4	7	All Students
1.3	425	2006	30.7	586	42.4	354	25.6	18	26.9	1383	628	372	4	8	All Students
1.3	418	2007	29.4	627	44.1	360	25.3	18	26.6	1423	630	378	4	8	All Students
4.4	183	2008	13.8	514	38.6	574	43.2	59	47.6	1330	646	633	4	8	All Students
8.2	88	2009	7.3	397	32.9	624	51.7	99	59.9	1208	657	723	4	8	All Students
9.4	214	2010	18.0	580	48.9	281	23.7	111	33.1	1186	663	392	4	8	All Students
10.2	162	2011	14.1	473	41.3	394	34.4	117	44.6	1146	667	511	4	8	All Students
8.1	1442	2006	18.0	2670	33.4	3237	40.5	648	48.6	7997	647	3885	4	All Grades	All Students
10.8	1118	2007	14.5	2443	31.6	3330	43.1	838	53.9	7729	653	4168	4	All Grades	All Students
13.5	560	2008	7.8	1816	25.2	3852	53.5	971	67.0	7199	663	4823	4	All Grades	All Students
19.2	302	2009	4.3	1343	19.2	4008	57.3	1347	76.5	7000	673	5355	4	All Grades	All Students
14.7	866	2010	12.8	2783	41.0	2135	31.5	1000	46.2	6784	672	3135	4	All Grades	All Students
13.3	732	2011	10.9	2607	39.0	2454	36.7	892	50.1	6685	674	3346	4	All Grades	All Students
10.4	181	2006	15.8	296	25.8	553	48.1	119	58.5	1149	656	672	5	3	All Students
16.4	117	2007	10.5	226	20.2	591	52.9	183	69.3	1117	667	774	5	3	All Students
12.8	55	2008	5.1	200	18.7	676	63.3	137	76.1	1068	672	813	5	3	All Students
15.2	29	2009	2.7	169	15.7	714	66.4	164	81.6	1076	676	878	5	3	All Students
11.9	203	2010	20.2	413	41.1	269	26.8	120	38.7	1005	680	389	5	3	All Students
3.4	212	2011	22.1	412	43.0	302	31.5	33	34.9	959	674	335	5	3	All Students
8.5	156	2006	13.9	313	27.8	560	49.8	96	58.3	1125	655	656	5	4	All Students
8.0	166	2007	14.2	319	27.3	589	50.5	93	58.4	1167	656	682	5	4	All Students
10.7	130	2008	12.2	221	20.8	597	56.2	114	66.9	1062	660	711	5	4	All Students
17.1	104	2009	9.8	228	21.6	545	51.5	181	68.6	1058	667	726	5	4	All Students
8.7	135	2010	12.9	514	49.0	308	29.4	91	38.1	1048	667	399	5	4	All Students
10.0	142	2011	14.0	435	42.9	336	33.1	102	43.2	1015	669	438	5	4	All Students
4.1	284	2006	24.6	446	38.6	377	32.7	47	36.7	1154	639	424	5	5	All Students
7.7	119	2007	10.0	378	31.8	599	50.5	91	58.1	1187	654	690	5	5	All Students
8.7	104	2008	9.6	319	29.4	569	52.4	94	61.0	1086	658	663	5	5	All Students
16.2	43	2009	4.8	174	19.6	527	59.3	144	75.6	888	668	671	5	5	All Students
9.0	153	2010	15.6	450	45.9	289	29.5	88	38.5	980	666	377	5	5	All Students
8.0	99	2011	10.9	425	47.0	309	34.1	72	42.1	905	670	381	5	5	All Students
4.9	251	2006	19.4	457	35.4	520	40.3	63	45.2	1291	642	583	5	6	All Students
8.5	181	2007	14.8	367	29.9	574	46.8	104	55.3	1226	651	678	5	6	All Students
13.0	122	2008	9.4	326	25.0	686	52.6	169	65.6	1303	660	855	5	6	All Students
18.7	58	2009	4.8	270	22.5	649	54.0	225	72.7	1202	669	874	5	6	All Students
11.3	188	2010	17.8	462	43.7	288	27.2	120	38.6	1058	663	408	5	6	All Students
13.8	173	2011	17.1	436	43.2	262	25.9	139	39.7	1010	667	401	5	6	All Students
2.7	317	2006	22.7	604	43.3	436	31.3	37	33.9	1394	632	473	5	7	All Students
5.8	196	2007	14.8	532	40.3	516	39.1	77	44.9	1321	643	593	5	7	All Students
8.3	100	2008	8.3	385	32.1	614	51.3	99	59.5	1198	654	713	5	7	All Students
13.9	36	2009	2.9	291	23.3	748	59.9	174	73.8	1249	666	922	5	7	All Students
10.9	189	2010	15.8	556	46.5	320	26.8	130	37.7	1195	661	450	5	7	All Students
12.4	196	2011	17.9	478	43.8	283	25.9	135	38.3	1092	661	418	5	7	All Students
3.1	458	2006	34.6	523	39.5	302	22.8	41	25.9	1324	627	343	5	8	All Students
5.3	417	2007	28.8	572	39.5	383	26.4	77	31.7	1449	635	460	5	8	All Students
3.9	166	2008	13.4	496	40.2	525	42.5	48	46.4	1235	646	573	5	8	All Students
7.0	73	2009	6.1	394	33.0	642	53.8	84	60.9	1193	658	726	5	8	All Students
10.1	223	2010	18.0	573	46.3	317	25.6	125	35.7	1238	664	442	5	8	All Students
11.4	199	2011	16.7	486	40.8	371	31.1	136	42.5	1192	665	507	5	8	All Students
5.4	1647	2006	22.1	2639	35.5	2748	37.0	403	42.4	7437	641	3151	5	All Grades	All Students
8.4	1196	2007	16.0	2394	32.1	3252	43.6	625	51.9	7467	650	3877	5	All Grades	All Students
9.5	677	2008	9.7	1947	28.0	3667	52.7	661	62.3	6952	658	4328	5	All Grades	All Students
14.6	343	2009	5.1	1526	22.9	3825	57.4	972	72.0	6666	667	4797	5	All Grades	All Students
10.3	1091	2010	16.7	2968	45.5	1791	27.5	674	37.8	6524	667	2465	5	All Grades	All Students
10.0	1021	2011	16.5	2672	43.3	1863	30.2	617	40.2	6173	667	2480	5	All Grades	All Students
14.5	336	2006	12.9	580	22.2	1315	50.4	379	64.9	2610	662	1694	6	3	All Students
14.9	204	2007	8.0	491	19.4	1463	57.7	377	72.6	2535	669	1840	6	3	All Students
10.4	92	2008	4.1	344	15.4	1569	70.1	233	80.5	2238	672	1802	6	3	All Students
15.0	46	2009	2.1	227	10.2	1612	72.7	332	87.7	2217	679	1944	6	3	All Students
12.0	394	2010	18.1	889	40.8	632	29.0	262	41.1	2177	681	894	6	3	All Students
5.6	357	2011	16.5	926	42.8	759	35.1	120	40.7	2162	678	879	6	3	All Students
9.6	417	2006	16.3	702	27.5	1193	46.7	245	56.2	2557	654	1438	6	4	All Students
11.3	287	2007	11.5	679	27.1	1254	50.1	284	61.4	2504	660	1538	6	4	All Students
12.6	206	2008	8.6	496	20.6	1399	58.2	303	70.8	2404	665	1702	6	4	All Students
20.4	153	2009	7.0	333	15.3	1243	57.2	444	77.6	2173	674	1687	6	4	All Students
13.7	215	2010	9.7	1012	45.6	687	31.0	303	44.7	2217	673	990	6	4	All Students
13.7	196	2011	8.7	858	38.3	879	39.2	308	53.0	2241	677	1187	6	4	All Students
7.8	551	2006	19.7	915	32.7	1114	39.8	218	47.6	2798	647	1332	6	5	All Students
10.4	263	2007	10.7	758	31.0	1171	47.9	255	58.3	2447	657	1426	6	5	All Students
13.6	205	2008	8.8	541	23.3	1263	54.3	316	67.9	2325	663	1579	6	5	All Students
23.5	90	2009	3.9	333	14.4	1345	58.2	542	81.7	2310	675	1887	6	5	All Students
14.1	208	2010	10.6	798	40.5	687	34.9	277	48.9	1970	673	964	6	5	All Students
12.3	202	2011	10.3	755	38.7	754	38.6	241	51.0	1952	675	995	6	5	All Students
4.9	629	2006	23.3	1045	38.6	898	33.2	132	38.1	2704	638	1030	6	6	All Students
9.2	433	2007	17.3	832	33.1	1014	40.4	231	49.6	2510	649	1245	6	6	All Students
11.1	244	2008	10.7	596	26.1	1188	52.1	253	63.2	2281	657	1441	6	6	All Students
15.7	140	2009	6.4	555	25.3	1157	52.7	345	68.4	2197	665	1502	6	6	All Students
13.3	327	2010	15.0	975	44.8	582	26.8	290	40.1	2174	667	872	6	6	All Students
13.3	301	2011	15.2	779	39.4	635	32.1	263	45.4	1978	669	898	6	6	All Students
3.4	630	2006	22.2	1237	43.7	868	30.6	97	34.1	2832	632	965	6	7	All Students
7.1	371	2007	13.3	1179	42.2	1049	37.5	198	44.6	2797	645	1247	6	7	All Students
12.1	183	2008	7.1	790	30.9	1276	49.8	311	62.0	2560	657	1587	6	7	All Students
14.7	46	2009	2.0	448	19.7	1448	63.6	336	78.3	2278	668	1784	6	7	All Students
14.7	345	2010	15.2	941	41.6	645	28.5	333	43.2	2264	664	978	6	7	All Students
16.1	274	2011	12.4	864	39.0	720	32.5	357	48.6	2215	668	1077	6	7	All Students
3.4	809	2006	28.3	1176	41.1	779	27.2	96	30.6	2860	632	875	6	8	All Students
4.2	609	2007	21.8	1192	42.6	878	31.4	117	35.6	2796	639	995	6	8	All Students
6.5	353	2008	12.8	999	36.2	1231	44.6	180	51.1	2763	650	1411	6	8	All Students
8.6	141	2009	5.5	746	28.9	1473	57.0	223	65.7	2583	661	1696	6	8	All Students
12.1	310	2010	12.9	1112	46.3	687	28.6	291	40.8	2400	669	978	6	8	All Students
10.7	303	2011	12.9	951	40.6	835	35.7	251	46.4	2340	668	1086	6	8	All Students
7.1	3372	2006	20.6	5655	34.6	6167	37.7	1167	44.8	16361	644	7334	6	All Grades	All Students
9.4	2167	2007	13.9	5131	32.9	6829	43.8	1462	53.2	15589	652	8291	6	All Grades	All Students
11.0	1283	2008	8.8	3766	25.8	7926	54.4	1596	65.3	14571	660	9522	6	All Grades	All Students
16.2	616	2009	4.5	2642	19.2	8278	60.2	2222	76.3	13758	670	10500	6	All Grades	All Students
13.3	1799	2010	13.6	5727	43.4	3920	29.7	1756	43.0	13202	671	5676	6	All Grades	All Students
11.9	1633	2011	12.7	5133	39.8	4582	35.6	1540	47.5	12888	672	6122	6	All Grades	All Students
9.0	232	2006	15.9	351	24.0	749	51.2	131	60.2	1463	655	880	7	3	All Students
14.6	142	2007	9.9	287	20.1	793	55.4	209	70.0	1431	666	1002	7	3	All Students
10.4	91	2008	6.7	223	16.3	910	66.6	142	77.0	1366	669	1052	7	3	All Students
13.1	32	2009	2.4	178	13.2	965	71.4	177	84.5	1352	676	1142	7	3	All Students
10.1	264	2010	19.4	606	44.5	356	26.1	137	36.2	1363	678	493	7	3	All Students
2.6	259	2011	19.5	623	46.8	413	31.1	35	33.7	1330	676	448	7	3	All Students
8.5	245	2006	17.6	407	29.2	623	44.7	119	53.2	1394	650	742	7	4	All Students
7.9	223	2007	15.1	461	31.3	674	45.7	117	53.6	1475	653	791	7	4	All Students
11.7	167	2008	12.0	350	25.2	709	51.0	163	62.8	1389	660	872	7	4	All Students
15.7	125	2009	9.5	232	17.6	757	57.3	207	73.0	1321	669	964	7	4	All Students
10.4	174	2010	13.1	671	50.3	349	26.2	139	36.6	1333	668	488	7	4	All Students
9.8	171	2011	12.4	640	46.5	431	31.3	135	41.1	1377	669	566	7	4	All Students
5.0	365	2006	23.2	581	37.0	546	34.8	78	39.7	1570	640	624	7	5	All Students
6.3	230	2007	15.5	500	33.6	664	44.7	93	50.9	1487	649	757	7	5	All Students
7.4	132	2008	9.3	432	30.5	747	52.8	105	60.2	1416	655	852	7	5	All Students
16.3	79	2009	5.9	306	23.0	727	54.7	217	71.0	1329	666	944	7	5	All Students
9.3	181	2010	13.9	591	45.3	411	31.5	122	40.8	1305	667	533	7	5	All Students
7.7	177	2011	13.7	597	46.1	421	32.5	99	40.2	1294	668	520	7	5	All Students
2.6	553	2006	35.2	588	37.5	387	24.7	41	27.3	1569	626	428	7	6	All Students
2.8	344	2007	22.6	596	39.2	538	35.4	43	38.2	1521	637	581	7	6	All Students
4.5	214	2008	15.0	488	34.3	656	46.1	64	50.6	1422	646	720	7	6	All Students
8.4	120	2009	8.6	431	30.8	733	52.3	117	60.7	1401	657	850	7	6	All Students
9.9	260	2010	18.9	646	46.9	336	24.4	136	34.3	1378	660	472	7	6	All Students
8.6	275	2011	19.7	627	45.0	371	26.6	120	35.2	1393	663	491	7	6	All Students
1.2	520	2006	31.6	769	46.7	339	20.6	20	21.8	1648	621	359	7	7	All Students
2.5	327	2007	20.1	770	47.4	489	30.1	40	32.5	1626	634	529	7	7	All Students
3.9	158	2008	10.2	659	42.7	666	43.2	60	47.1	1543	645	726	7	7	All Students
5.9	45	2009	3.2	403	28.5	885	62.5	83	68.4	1416	659	968	7	7	All Students
9.2	265	2010	19.0	616	44.2	384	27.6	128	36.8	1393	658	512	7	7	All Students
10.1	272	2011	19.8	608	44.3	355	25.9	138	35.9	1373	659	493	7	7	All Students
0.6	648	2006	42.1	652	42.3	231	15.0	9	15.6	1540	615	240	7	8	All Students
0.9	515	2007	31.9	743	46.1	340	21.1	15	22.0	1613	627	355	7	8	All Students
2.7	274	2008	18.1	638	42.0	565	37.2	41	39.9	1518	641	606	7	8	All Students
5.7	113	2009	7.2	532	34.1	827	53.0	89	58.7	1561	656	916	7	8	All Students
5.3	295	2010	20.6	768	53.5	296	20.6	76	25.9	1435	659	372	7	8	All Students
4.9	267	2011	19.1	668	47.8	393	28.1	69	33.1	1397	659	462	7	8	All Students
4.3	2563	2006	27.9	3348	36.5	2875	31.3	398	35.6	9184	634	3273	7	All Grades	All Students
5.6	1781	2007	19.5	3357	36.7	3498	38.2	517	43.9	9153	644	4015	7	All Grades	All Students
6.6	1036	2008	12.0	2790	32.2	4253	49.1	575	55.8	8654	652	4828	7	All Grades	All Students
10.6	514	2009	6.1	2082	24.8	4894	58.4	890	69.0	8380	664	5784	7	All Grades	All Students
